reviews,scores
휴대폰 카메라가 문제가 있어서 사진을 못 찍었네요 맛있게 잘 먹었어요,5
배달이너무심하게늦게왔어요음식보다배송완료문자가30분전에떴어요뭐가잘못된줄알고걱정했어요,1
재주문했어요 너무 맛있고 매워요,5
1시간이내로 온대서 기다렸다가 안오셔서 전화드렸는데 전화도 다 안받으시더라구요 거의 2시간 기다렸는데 사과 한마디 없으시구요..ㅜ,1
평소 여기서 자주 시켜먹었는데 오늘은 유독 오래걸리네요.. 배달 60분 예상시간 알림 받았는데 별다른 이야기없이 70분이 남어가도 배달이안와서 요기요 통해서 문의하니 80분쯤 되는시간에 배달시작했다고.. 그러고도 한참 기다려서 거의 두시간 기다려서 받겠네요.. 밥을 두시간 기다렸다가 먹어보기도하네요 ㅜㅜ.. 집주소기준 1.5km 거리에있는 식당에서 오는데 이렇게 오래 걸릴 수 있나요? 배달만 40분은 넘게 걸린것같은데.. 배달 별 0개 주고싶은데 최소 하나 이상 선택하라고 나옵니다,2
배달이 좀 늦어찌만 역시나 맛잇눈 슌살 ❤,5
맛있게 잘먹었습니다!! 너무 맛있어서 사진 찍기전에 다 먹어버렸네요.. ㅎㅎ,5
정 말 잘 먹 었 어 요!,5
와..대박 맛있어요 아침부터 닭도리탕 시켜먹고싶어 먹었는데 넘 맛있어요 닭은 쫄깃하고 국물먹은 감자는 촉촉하고 환상이네요 Good!,5
양이먆네여 맛도 괜찮습니다,4
비린내도 안나고 맵기도 적당합니다.,4
맛있게 잘 먹었어요~ 양이 많고 고기가 부드러워요,5
배달시간이1시간45분 걸렸네요  맛을보고나니 기다리며 나던 짜증이 사라졌네요 맛있게 먹고있습니다,4
잘 먹었습니다. 번창하세요!,5
오랜만에 주문했는데 맛있게먹었어여 사진 찍어야하는데 남표니 한조각 쫌 뜯어먹었네여..ㅎ감자는 둘다 별로 안좋아해서..고기가 쫌많았으면 싶었네요,5
이번에도 맛있게 잘 먹었습니다 ^^,5
잘 먹었어요~~~~,5
여기가 아니면 정답은 없다,5
시키고 정말 만족했습니다,5
맛있게 잘먹었습니다 ㅎㅎ 감사합니다~~,5
혼자먹다보니 남은 사진만 찍겓히었네요  맛있습니다 추천드려요,5
맜있어요 배달도 빠르고요,5
밋있어영 또 먹을게용,5
배달빠르고 맛있습니다,5
진짜 맛잇어요 ㄹㅇ,5
맛있고 푸짐하네요 ㅎㅎ,5
맛있게 먹었어요~,5
리뷰 많은거 보고 주문했는데 맛있어요~ 근데 양이 좀 작네요 둘이 중자는 시켜야할거같아요 맛있습니다,5
바로먹어서 사진도 못 찍었네요😂 진짜 맛있습니다! 회사에서 같이 시켜먹었는데 양도 많고 좋았어요! 당면도 많아서 마지막까지 맛나게 먹었습니다! 공기밥도 양이 많습니다! 🍚🍚🍚 오랫만에 기분좋게 점심먹은 것 같아요!!,5
늘 맛있게 잘먹구 있습니다~~^^,5
맛있어요~~~~ 회사에서 시켜먹느라 사진을 못찍었네옹 특히 감자 알크고 맛있네요,5
진짜 양푸짐 맛도 짜지않고 저에겐딱 좋았어요^^ 요청사항도 너무잘들어주셔서 매우 맛나게 먹었어요,5
진짜 맛있어요 ㅠㅠ  자취생이라 일회용품 많이 부탁드렸는데 들어주셔서 감사합니다  두명이서 배터지게 먹고 낼은 우동사리 볶음밥 해먹을겁니다! 이사와서 처음 시킨 집인데 맘에 들어서 여기서 계속 시킬 것 같아요 양많고 배달도 친절하시고 자극적이게 맛있고 콜라 두개나 주셨어요 많이파세요,5
배송빠르고 맛있어요.,5
배달 빨리해주셔서 좋았고 너무 맛있었습니다,5
맛있게 잘먹었습니다~,5
"한시간 넘는 기다림… 배달하고 안 알려쥬시고 가신 배달아저씨… 야속해서 넘 피곤하지만, 얼큰 냄새맡고 소주 각… ㅎㅎㅎ 맛잇어여!!!",5
얼큰하고 맛 있네요~~~,5
잘먹었습니다~~~~~~~,5
이런곳에서 삼계탕같은건 안시키는건 알았지만 상태가 심각해요. 1인당 12000원인데 계는 작고 뼈는 으스러지고 고기 살은 익었는데 빨간게 있고 하여간 기분더러워지는 맛이었습니다. 다른 메뉴는 모르겠지만 삼계탕은 시키지 마시길.. 사장님이 직접 먹는다 생각하고 만드셨음 참 좋겠네요 초복날 기분 잡쳤습니다..,1
정말 맛있습니다! 닭도리탕은 항상 여기서만먹어요,5
친구랑 잘먹었습니다ㅎㅎ 떡도 쫄깃해요ㅎㅎ,5
맛이  good!!  떡도잇고감자도 very nice~,4
맛있게먹었읍니다 아침부터 새주 한잔 혔네요,5
언제나 맛있고 좋아요,5
맛있고 양많고 배달도 빠르네요 ㅎㅎ 정말 잘 먹었습니다!,5
정말 최악.못먹고 버렸어요. 태어나 이런거 처음이에요. 뼈가 다 으스러져요.닭뼈 잘못먹음 안되는거 아시죠? 먹는내내 자잘한 뼈조각이 막 씹혀서 불안해서 다 버렸습니다. 어찌조리하면 이리되나요?냉동닭 쓰시나요?정말 너무 무서울정도입니다.입안에 뼈조각이 마구 .정말 끔찍하네요,1
배달도 예상보다 빠르고 작은 사이즈인데도 거이 배터지게 먹었습니다 맛은 두말할거없구요,5
맛있어요 고기가 큼직해서 넘 젛아요 또 시켜먹을거에요!,5
삼시세끼 다*묵음 맛있음 마지막에 양념남은걸로 뽁음밥해먹으니까 존맛,5
맛있게 잘먹었어요~~~!,5
너무 맛있고 양도 많고 또 시켜 먹을께용,5
"#식후감 배달 문자를 받고 개봉을 한순간. 리뷰써시스로 주신 콜라와 물에 일단 감탄, 뚜껑을 여는 순간 코끝에 와닿는 닭볶음탕에 향기 한입 넣는 순간 자동적으로 머무는 입가에 미소, 밥한술에 녹듯이 비벼지는 국물이 끝내주더군요. 너무 앙도 너무 많아서 어떻게 다먹지 걱정했는데 어느새 바닥이 보이더군요. 맛있게 잘 먹었어요.^^",5
배달해주시는 기사님도 친절하셨고 맛도 대박이에요🤤리뷰 깜빡하고 열심히 먹다가 찍었어요!! 앞으로도 닭도리탕은 여기서 시켜먹을게요 👍🏻👍🏻👍🏻,5
닭에서 냄새가 나요…. 닭 처음에 데칠때 나는 그 특유에 냄새가…. 전 제대로 먹지도 못하고 결국 젓가락 내려 놓았네요….,2
👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,5
닭도리탕은 여기가 진짜 존맛탱 ㅠ,5
