reviews,scores
참치김치찌개 주문했는데 돼지고기만 들어있었어요ㅠㅠ 그래도 주문한 음식들 다 맛있었습니다!,5
맛있게 잘 먹었습니다,5
빨리오고 양도많고 맛있습니다,5
울언니가 겁나맛있데요~담에또주문해달라고하네요~,5
배달 언제오는거에요  한시간 남게 기다렸는데.. 배달이 안오네요,1
맛있음 양도많고 근데 너무 반절먹다보면 느끼하고물림,5
맛있고 양도 많고 배달 빠릅니다 리뷰가 많은 이유가 있는 맛집이네요,5
진짜 맛있어용!!!!!!!!,5
양도 많고 맛있네요,5
새벽에도 배달 안 늦고 감사합니다,5
맛있게잘먹었습니다 배달ㅍ빨리완어여,5
"세번째 재구매입니다. 1,2번째구매는 고구마치즈돈까스 정말 맛나게먹다가 3번째는 뼈해장국 먹어봤는데요. 보통 일반적인 뼈해장국집이랑 비교해도 맛이 떨어지지않고 세번째 구매때도 마찬가지 신속 정확하게 배달왔네요.  지금까지 시켜먹으면서 이가격에 1인분 배달시키면서 후회없이 음식 먹고있네요. 감사합니다. 사장님~!",5
맛있어서 재주문 했는데 이번엔 짜고 고기도 그전과 비교해서 작고 이번엔 실망입니다.,4
만두전문점이 아니라  조금 걱정했는데 생각보다 맛있었음,4
뼈해장국 뼈 쥐꼬리만하구요. 국물은 짭니다 지금껏 안좋게 리뷰남긴적없는데 아쉽내요 콜라서비스는 감사합니다.  동까스는 무난히 맛져요  뼈해장국은 진짜 비추요 고기 한 50그램 정도에요,3
역시나 맛있게 잘먹었습니다!,5
주문한지 1시간20분만에 받았어요ㅜ 돈가스는 다 식어서 딱딱해서 이가 아플정도고... 치즈는 식어서 굳어있고ㅜ 매장에 전화했더니... 어떻게 해주겠다가 아니라 어떻게 해주길 바라냐고 물으시더군요ㅜ 그래서 다시 보내달라고 했어요~ 결국 주문한지 2시간만에 먹게됐는데 신경쓰고했더니.머리가 아파 결국엔 제대로 먹지도 못하고 .버리는게 더 많았네요ㅜ 물론 늦게온건 배달하는 라이더님이지만..이것또한 매장관리라고 생각을 해요ㅜ,1
오랫만에 우거지갈비탕! 속잘풀었네요~잘먹었습니다,5
맛잇어요 소스가 신의한수 콩나물국도 같이오는데 그것도 킬포에요,5
완전 맛잇어용!!!자주이용해서 먹을깨요~~,5
양만 살짝 더 있거나 곱빼기 메뉴를 추가해주시면 백점만점에 백일점,5
음식이 맛있습니다. 추천,5
제육과 돈까스~ 넘맛있네요~오늘도 맛나게 잘먹었습니다,5
💓💓💓💓💓💓💓👈🏻👈🏻👈🏻👈🏻😁😁😁👍🏼👍🏼👍🏼,5
왜 갈비탕 맛있지?????,5
