reviews,scores
"오전에 빠른배달 해주셨어용  짜장탕수육세트 먹어보고 넘넘 맛있어서 재주문했어요  이번에는 간짜장 주문했는데 여기간짜장 맛나네용~~!  요청사항 다 들어주셔서 넘 감사해요  여기 탕수육도 넘 바삭하고 맛있게 잘먹었는데, 짜장면 생각나시는 분들은 홍매황궁쟁만 봉천점 간짜장 어떠신지! 윤기좔좔 보이시죠!!  증말 맛있고 양도 많아요 , 안그래도 양은 괜찮았는데 이번에 곱빼기 하니까 찐으로 양 대박 많더라구요~ 면킬러는 흡족합니다~~~",5
볶음짬뽕 진짜맛잇어요;;;;;; 쟁짜도 미쳐요 맛집,5
"평소 먹던 중국집이 쉬는날이라 첨으로 딴집을 둘러보다 시켜보게됐어요! (뭔가 배달업체 안끼는 중국집은 신뢰가 가는ㅋㅋ 느낌이라) 팔보채 해물양도 많고, 농도랑 간도 딱 좋고! 너무너무 맛있게 잘먹었습니다! 서비스로 콜라랑 만두까지 주셔서 배터지게 먹었네요! 👍👍 담에도 시켜볼것 같아요!",5
서비스도 잘받았구 맛나게 먹었습니당,5
맛있어요 반찬 빼달라거했는데 넣어주셨지만 ㅠㅠ,5
배달진짜 빨라요  배달빨라서 믿고 항상여기서 시켜요 짜장 짬뽕 둘다맛있어요 서비스 군만두도 바삭하고 맛나요!  오늘은 면 좀뿔어서왔는데 좀 의문이긴하네요 배달은 진짜빨랐는데 왜 뿔어서 오는지 ..,5
항상 빠르고 맛있습니다.,5
탕수육 너무 맛있어요!!!!ㅠㅠ 다 먹고이서 사진찍는걸 생각했네요.....,5
맛있게 먹었습니다. 먹다가 찍어서 몇개없네요^^,5
너무 맛있게 잘먹었어요,5
마싯어요 차돌짬뽀옹,5
꿀맛이네요ㅠㅠ 짜장면도 좋고 탕수육도ㅠ,5
l맛있네요 감사합니다,5
이집 짬뽕은 진짜 진국이다 라고 생각했어요.. 다른데에서는 못시켜먹을거 같다 생각할 정도로 해물도 너무 많고 양도 많아서 두명이서 나눠먹었어요,5
맛있어요배달도빠릅니다,5
딱 기대한 탕짜면 맛과 비주얼이네요. 배달비도 없고 리뷰이벤트 콜라까지 아주 좋아요. 추천합니다,5
리뷰 늦어 죄송함다~  배달도 빠르고 양도 많고 다 맛있었어요!!! 해장 아주 잘 했습니당^^,5
잘먹었어요 번창하세요,5
번개가 형님할 정도로 빨리와서 좋았어요.,5
양도 많고 엄청 빨리와요,5
동네라 그런지 배달속도가 타의추종을 불허하네요 :),5
잘먹었습니다 맛있고 서비스도 잘 받았어요  아쉬운건 단무지 사이에 날벌레 하나가 있었던데 아쉬워요 춘장묻은건줄알았는데 아니었네요  사진은 찍어두긴했는데 첨부는 하지않을게여,4
배달 기사님도 친절하셨고 음식도 맛있었습니다,5
역시 언제 먹어도 깔끔하고 맛있네요^^ 또시켜먹을게요~!,5
맛있게 잘 먹었급니다,5
