reviews,scores
뼈진짜 잘발라져요ㅋㅋ 혼자서 2인분시켰긴한데 두명이먹었어도 엄청많은양...몇끼째먹고있음....,5
맛있게 먹었습니다.,5
후기가 좋아서 믿고시켰는데 정말 맛있네요 잡내 하나도 안나고 양념도 굿굿입니다ㅠㅠㅠㅠ 밥을 어찌나 많이 주셨는지 고봉밥 수준이네여 ㅋㅋㅋ 잘먹었습니다 ~~,5
착한가격에 두가지를 먹을수 있어서 넘 좋아요.  맛도 좋고 서비스로 떡볶이랑 만두도 더주시고 자주 이용하겠습니다~~~참 돼지김치찜에  김치 맛있어요~~~,5
오랜만에 먹었는데 맛있네요 잘 먹었습니다,5
"너뮤 맛있어서 호다닥 먹어버렸네요,,, 먹고 난후 리뷰가 있다는걸 알아버렸네요,,,,,,,,,,,,, 진짜 최강 너무 부드럽고 맛있습니다🥺",5
묵은지 맛있네요 또 주문하겠습니다!,5
너무 맛있고 양도 최고네요 자주 시켜먹게 될만큼 최고의 맛입니다. 완전 추천합니다.,5
리뷰보고 주문했는데 역시 맛있어요 갈비도 부드럽고 양도 2명먹기에 딱입니다 초등딸도 맛있다고 합니다 함깨주신 써비스 떡뽁기 계란후라이도 맛있고 감사드립니다,5
급하게 먹느라 사진을 못 찍었네요ㅜㅜ 닭도리탕이 조금밖에 안 남아서 새로 해야 하신다기에 그냥 금액 맞춰서 다른 메뉴랑 섞어서 보내주시라고 했어요ㅋㅋ  근데 생각보다 닭도리탕이 너무 맛있는데 양이 너무 적은 거예요ㅠ 다음날 다시 시켜먹으려고 했는데 휴무일이셔서 조만간 기회되면 꼭 다시 시켜먹으려구요! 그땐 많이많이 먹을 수 있길~~,5
양도 많고 너무 맛있어요! 맛있게 매워서 배부른데도 계속 먹게 되네요!! 리뷰이벤트 후라이도 감사합니다 👍👍👍,5
#식후감 늘 업그레이드되는 맛 나홀로찜애 소갈비찜 오늘도 잘 먹었습니다,5
잘먹었습니다 ㅇㅇㅇㅇㅇ,5
매운데 넘 맛잇어요 ㅎㅎ  리뷰참여 말씀드렷는데 섭스안왓길래 ㅜ 다시 보니 아이디를 적으라고 되어잇엇구녀 ㅜㅜ 다른분들은 꼭적으세요 ㅎㅎ 핵꿀맛입니다,5
잘 먹었습니다 많이 파세요,5
빠른 배송.. 맛있게 잘 먹었어요.. 소갈비찜..진짜 부드러워요..👍👍,5
잘 먹었습니다~^^,5
사장님 넘 친절하세요 ㅎㅎ 맛있었어요 최고!!,5
매운맛 못드심 보통맛으로 드세요 ㅋ 고기 맛나고 묵은지 기가막히네요 밥도둑입니다,5
어우 반반세트두개시켰더니 다음날까지 먹었네요 ㅋ ㅋ 푸짐하게 잘먹었어요!,5
떡볶이도 갈비찜도 다 맛있어요 저한텐 너무 매워서 머리까지 땀낚어요 저같은 맵찔이분들은 안매운걸로 드세요!,5
너무 맛있어요 재배달 의사 100%,5
잘 먹엇습니다 조금 근데 조금 묽은거 같아요,5
오솔레미오 레미제라블,5
맛있어서 몇번을시켜먹는지모르겠어요ㅠㅠ 굿굿!!,5
맛있었어요 잘먹었습니다.,5
오랜만에 시켜 먹어요. 배달도 생각보다 빨리 왔어요. 잘 먹었어요.,5
양도 많고 맛있습니다. 밥도둑,5
당면은 다 불어터져서 추가 안하는게 좋을것같고 캡싸이신으로 매운맛을 내서 잇몸이 아리네요 가성비는 좋고 맛도 중간은 하는것같습니다,5
맛있어요🍯🍯🍯🐝🐝🐝🐝,5
잘먹었습니다 감사합니다,5
맛은 있는데 김치가 너무 조각조각 짤려져 있어요 ㅠㅠ  원래 그런진 모르겠지만 그 점은 별로예요,4
맛있어요🍯🍯🍯🍯🐝🐝🐝🐝,5
고기대박!! 엄청야들야들하고 맛잇어요👍👍👍👍 맛집찾앗습니당♡♡♡,5
잘 먹었습니다 많이 파세요,5
매운데 맛있어요!! 맵찔이라 매운거 잘 못먹는데 계속 먹게 되더라구요!,5
항상맛있게 잘먹고있습니다,5
정말 맛있었어요! 추천입니다!,5
맛있게 잘먹었습니다,5
맛있게 잘먹었습니다,5
자주 시켜먹는 단골입니다! 혼자 끼니 때우기에 맛도 가격도 양도 정말 좋아요,5
