reviews,scores
(그제 먹은거 깜빡하고 리뷰를 안 올렸었네요..) 초밥 너무너무 맛있게 잘 먹었습니다!! 우동도 면 안 불게 따로 포장해주시는 것도 너무 좋았어요😄,5
맛나게 잘 먹었습니다! :),5
맛있게 잘 먹었습니다,5
배달빠르고 맛잇어여,5
오늘은 계란초밥도 시켜봤는데 촉촉하면서 맛있었어요. 물론 연어초밥은 항상 맛있구요.,5
부모님께 주문해드렸는데 맛있게 잘 드셨다고 하셔서 기분이 좋네요~,3
불맛 나는 초밥이 제일 맛있어요,5
못 먹는 게 있어서 바꿔달라고 요청드렸는데 잘 바꿔주셔서 감사합니다 다만 장국이 넘나 작은 것 ㅎㅎ 맛은 좋아요 하나도 안 비렸어요 잘 먹었습니다,5
초밥은 항상 너무너무 맛나요!! 돈가스도 처음 주문해서 먹었는데 소스도 맛있고 잘먹었네요^^,5
"신선하고 푸짐한 회덮밥 먹고싶을 때, 길초밥보다 나은데 없어요^^ 먹다보니 사진 안찍었어요.",5
배부르게 잘먹었습니다,5
입맛이 없어서 초밥시켰는데..  집나간 입맛이 돌아오네요. 맛있게 먹었어요!,5
언제나 맛있어요 가성비 짱,5
맛있어요~~~굳굳굳,5
맛있는 스시를 골고루 먹을수있어요 같이오는 미니우동도 최고! 다음에 또시킬게요👍👍,5
믿고먹는 메뉴지만 오늘은 배달원분도 친절하셔서 기분도 좋았음,5
가성비 최강이에요!!,5
"매장 오픈 초기 때 가서 먹어보고 참 맛있는 집이 생겼구나 했었는데, 호적 메이트가 여기 회덮밥을 좋아해서 같이 시켜서 잘 먹고 있습니다. 여기 초밥도 너무 맛있는데 돈까스 고기도 부드럽고 무엇보다 돈까스 소스가 지이이인짜 맛있어요!",5
회덮밥은 여기가 찐이예여,5
매번 잘 먹고 있습니다!,5
초밥에는 전혀 불만이 없이 맛있어요. 다만 배송하시는분이 집앞에 두고 연락을 안주셔서 2시간이나 지나서 발견했습니다.,5
점심으로 맛있게 잘 먹었습니다!,4
"맛, 가격, 서비스, 그리고 항상 챙겨 주시는 얼음물까지 정말 갓성비에요~^^",5
진짜 맛있었습니다. 돈까스도~!,5
항상 맛있게 먹었는데 오늘은 회덮밥이 좀 덜 싱싱했던 거 같아요,5
맛있어요최고최고짱짱,5
역시 초밥은 길초밥,5
주기적으로 생각나는 길초밥~ 오늘도 맛있고 배불리 먹었습니다!,5
항상 시킬때마다 맛있습니다,5
초밥이 신선하고 맛있어요~ 포장도 우동사리만 따로 포장해 주시고 간장은 귀여운 통에 담아주셔서 사소한 서비스지만 감동했습니다~,5
맛있게 먹었습니다 ㅎㅎ,5
혼자 다 먹었어요ㅎ,5
정말 맛있게 잘 먹었어요~,5
사시미 세트가 사라져서 아쉽지만 초밥도 맛나용~!!,5
사진은 못찍었지만 항상 맛있게 먹고있어요!! 감사합니다!!,5
배달도 빨리오고 맛있게 잘 먹었습니다 ;),5
진짜 맛있음 거짓말 안하고 진짜 맛있음,5
초밥 밥이  떡이에요.. 떡이랑 회를 같이 씹는 맛이었어요.  고로케랑 새우튀김은 리뷰보고 시킨건데.. 눅눅하고 기름덩어리가 왔어요 바쁘셔서 기름 안털고 그냥 담으신건지.. ㅜ 기름맛만 났어요.  그리고 용기에 담아주신 간장이랑 소스가 샜어요 ㅜ 하얀용기는 전부 쓰러져서 배달 되었어요 ㅠㅠ 할인이벤트에 뜬거보고 오랜만에 먹은 길초밥인데 아쉬움이 남네요 ㅠㅠ,3
너무 맛있어요 번창하세요,5
맛있게 잘 먹었습니다!,5
맛있어요!! 물도 고맙습니다~,5
항상 맛있게 먹고있습니다,5
맛있는 초밥 포장주문되서 참 좋아요,5
배달이 엄청 빨라요 밥 맛이 좀더강하면 좋겠어요 고추냉이도 더 넣구요 양념이 전체적으로 약한 느낌 그외 잘 먹었숩니다,5
너무 맛있어요!초밥은 물론이고 미니 아닌 양의 미니우동까지 최고입니당,5
먹다가 중간에 찍었는데 진짜 맛있고 신선해요 리뷰 이벤트 참여로 주신 황새치 불초밥도 최고,5
생각보다 양이 많네요ㅎ 잘 먹었습니다,5
역시 길초밥 개인적으로 소라초밥 강추,5
"너무 맛있게 잘 먹었습니다!! 계란초밥 너무 맛있어요,,",5
맛있게 잘먹었습니다,5
언제먹어도맛있는 길초밥,5
점심메뉴로 탁월한선택이였다,5
"너무 맛있게 잘 먹었습니다! 우동도 면 따로 챙겨주시고, 고추장과 마늘도 아주 넉넉히 챙겨주셨어요~ 깔끔하게 맛 너무 좋고, 서비스로 받은 초밥도 예술이었어요. 배달 예상 시간보다 2-30분 빨리와서 점심시간에 딱 맞게 먹을 수 있었습니다, 고맙습니다~",5
여윽시 초밥은 길초밥 항상 맛있어요,5
말해뭐합니까 진짜 너무 맛있어요!!!!!!!!!,5
매일 매일 먹고싶은맛 잘먹었습니당👍,5
언제나 그렇듯 맛있게 잘먹었습니다 :),5
맛있어요~~!! 가성비 짱짱,5
오늘 한끼 먹었는데 넘 맛있게 잘 먹었습니다!  요청사항도 들어주셔서 감사해요!,5
사진을 못 찍었네요ㅜ  맛나게 잘 먹었습니다,5
회덮밥도 맛있었는데 초밥은 말이 필요없습니다~! 넘넘 맛있어요!,5
그저 그래요.생각보다 별로. . .,2
배달이 좀 오래 걸리긴했는데 맛이 있어서 좋았네요,5
항상 맛있고 양도 푸짐,5
초밥 양도 많고 구성도 좋고 맛까지 훌륭하네요  서비스로 주신 불초밥도 잘 먹었습니다  아쉬운 점은 배달이 너어무 오래 걸렸습니다(한시간반),5
역시 길초밥~~~~존맛탱❤,5
이번에도 맛있게 잘먹었습니다 늘 맛있네요 사진은 먹는다고 까먹어서 예전껄로 ㅎ,5
언제나 대만족입니다👍,5
너무 맛있어요 다음에 또 주문할께요,5
"한쪽으로 사알짝 쏠려서 받았어요. 양이 많아서 2인분도 가능할 듯 싶어요. 채소가 잘게 잘려서 비비기 쉬웠고 회도 쫄깃했어요. 물도 주셨어요, 맛있게 잘 먹었습니당",5
매장이 없어져서 ㅜㅜ 항상 아쉽습니다~,5
배부르고 맛있어요!!!,5
헷갈리지 않게 표시도 해주시고 얼음물 주시는 센스. 양도 않네요.서비스로 주신건 저녁에 먹어야 겠네요.,5
맛좋고 양많고 사장님도 친절함,5
배달도 빠르고 저번에는 쏠려왔었는대 이번에는 잘 왔어요 초밥 맛있어요 우동도 맛있어요,5
맛나욤욤 잘 먹었습니당,5
oishiiiiiiiii,5
맛있네요 또 시킬게요! 얼음물 센스 굳 서비스도 정말 맛있게 잘 먹었습니다 ㅎㅎ,5
맛잇오요 ㅎㅎㅎㅎㅎ,5
배달은 좀 오래걸리지만 초밥은 실하고 맛있습니다,5
맛있어요~~ 시원한 얼음까지 감사합니다,5
